comparison,design,filter_threshold,DEG_threshold,total_tested_genes,significant_DEGs,upregulated_in_patch,downregulated_in_patch
BZ 1wk patch vs control,~ treatment,rowSums >= 1,padj < 0.05 and |log2FC| > 1,18780,140,136,4
BZ 1wk patch vs control,~ treatment,rowSums >= 1,raw pvalue < 0.05 and |log2FC| > log2(1.5),18780,1177,780,397
