"ENSEMBL","ENTREZID","SYMBOL"
"ENSRNOG00000049758","303734","Tbc1d16"
"ENSRNOG00000047005","364241","Kcnk5"
"ENSRNOG00000004805","363674","Stac2"
"ENSRNOG00000059140","289785","Myo1g"
"ENSRNOG00000021856","317676","Lat2"
"ENSRNOG00000050996","691835","Kctd4"
"ENSRNOG00000014532","29469","Lbp"
"ENSRNOG00000058940","498650","Rab11fip1"
"ENSRNOG00000032626","171045","Mmp3"
"ENSRNOG00000020431","60450","Matk"
"ENSRNOG00000047606","170929","Bcl2a1"
"ENSRNOG00000022298","305236","Cxcl11"
"ENSRNOG00000001187","304545","Oasl"
"ENSRNOG00000002501","364073","Ddx3y"
"ENSRNOG00000014835","25556","Il1rl1"
"ENSRNOG00000032569","690755","Lingo3"
"ENSRNOG00000018656","25028","Ampd1"
"ENSRNOG00000013267","296474","Helz2"
"ENSRNOG00000000405","309772","Vgll2"
"ENSRNOG00000001892","360737","Tbx1"
"ENSRNOG00000014661","305691","Zfp385d"
"ENSRNOG00000013526","362423","Rassf4"
"ENSRNOG00000047928","683573","LOC683573"
"ENSRNOG00000022893","266780","Rimbp2"
"ENSRNOG00000027833","310538","Fnip2"
"ENSRNOG00000019627","292879","Mybpc2"
"ENSRNOG00000003553","305604","Efemp1"
"ENSRNOG00000013034","361003","Dusp29"
"ENSRNOG00000047356","311860","Abl1"
"ENSRNOG00000006418","311580","Samhd1"
"ENSRNOG00000013581","56819","Extl3"
"ENSRNOG00000004423","64619","Zbtb18"
"ENSRNOG00000060329","114511","Emb"
"ENSRNOG00000008001","81755","Rab3b"
"ENSRNOG00000046195","64037","Slc22a4"
"ENSRNOG00000019057","85420","Prkcq"
"ENSRNOG00000000406","25346","Ros1"
"ENSRNOG00000009556","192648","Prokr1"
"ENSRNOG00000006950","29520","Padi3"
"ENSRNOG00000000156","65049","Megf6"
"ENSRNOG00000006237","252939","Gpr37l1"
"ENSRNOG00000018822","114613","Slc5a5"
"ENSRNOG00000046834","24232","C3"
"ENSRNOG00000017063","83517","Fcna"
"ENSRNOG00000008518","312793","Gsg1"
"ENSRNOG00000004150","317170","Slc9a7"
"ENSRNOG00000048321","683163","Tnfsf8"
"ENSRNOG00000005659","114592","Aurkb"
"ENSRNOG00000013615","294051","Dntt"
"ENSRNOG00000012280","689388","Ptx3"
"ENSRNOG00000008380","286920","Asic3"
"ENSRNOG00000002031","289482","Naa11"
"ENSRNOG00000026762","24984","RT1-DOa"
"ENSRNOG00000009425","29348","Fgf7"
"ENSRNOG00000014940","309377","Sfrp5"
"ENSRNOG00000018778","363058","Cadm1"
"ENSRNOG00000011820","56780","Acp3"
"ENSRNOG00000000981","25073","Scarb1"
"ENSRNOG00000056174","293856","Pdzd4"
"ENSRNOG00000000500","294297","Scube3"
"ENSRNOG00000037409","691993","Scimp"
"ENSRNOG00000020263","24213","Atp1a3"
"ENSRNOG00000004956","303113","Jade2"
"ENSRNOG00000022483","288596","Trim50"
"ENSRNOG00000037838","302377","P2ry10b"
"ENSRNOG00000022248","494223","Fbxl16"
"ENSRNOG00000019780","362018","Sypl2"
"ENSRNOG00000021916","309525","Slc16a12"
"ENSRNOG00000045555","679572","Romo1"
"ENSRNOG00000008553","362657","Mthfr"
"ENSRNOG00000016897","293049","Rlbp1"
"ENSRNOG00000012742","306657","Irx2"
"ENSRNOG00000021424","287818","Cd300lf"
"ENSRNOG00000053349","310869","Rrh"
"ENSRNOG00000053430","171144","Slco4a1"
"ENSRNOG00000061160","306564","Htra4"
"ENSRNOG00000037339","292844","Siglec10"
"ENSRNOG00000000167","25748","Alas2"
"ENSRNOG00000050675","688228","Myl4"
"ENSRNOG00000024899","498335","Cxcl13"
"ENSRNOG00000002538","304733","Epb41l5"
"ENSRNOG00000060241","497796","LOC497796"
"ENSRNOG00000005900","296600","Slc2a6"
"ENSRNOG00000006718","362297","Rbm33"
"ENSRNOG00000055991","64565","Tmprss11d"
"ENSRNOG00000006622","299691","Cry1"
"ENSRNOG00000010478","299282","Serpina3l"
"ENSRNOG00000027228","681211","Mogat2"
"ENSRNOG00000024115","24237","C6"
"ENSRNOG00000002937","24715","Ren"
"ENSRNOG00000047876","689986","C14h1orf146"
"ENSRNOG00000010065","361076","Dgkh"
"ENSRNOG00000018054","29636","F2rl2"
"ENSRNOG00000004757","117582","Tmem158"
"ENSRNOG00000009047","367086","Sln"
"ENSRNOG00000019661","29455","Gdf15"
"ENSRNOG00000013380","171581","Rhov"
"ENSRNOG00000002014","305269","Stap1"
"ENSRNOG00000011360","295445","Dkk2"
"ENSRNOG00000032490","29162","Cdh7"
"ENSRNOG00000056036","103691005","Zfp51"
"ENSRNOG00000033123","680203","Pcdhb20"
"ENSRNOG00000009686","29171","Aqp7"
"ENSRNOG00000002154","79110","Mepe"
"ENSRNOG00000033397","315263","Adamts20"
"ENSRNOG00000013069","680531","Sapcd2"
"ENSRNOG00000009646","302516","Nyx"
"ENSRNOG00000037310","100270669","Riiad1"
"ENSRNOG00000025551","500853","Rgs22"
"ENSRNOG00000037171","680246","Cripto"
"ENSRNOG00000015850","362662","Rbp7"
"ENSRNOG00000005929","300015","Them6"
"ENSRNOG00000004009","117522","Xpnpep2"
"ENSRNOG00000005250","114628","Abcg5"
"ENSRNOG00000051691","363677","Gjd3"
"ENSRNOG00000031716","100361383","Ecm2"
"ENSRNOG00000027606","303019","Neurl1b"
"ENSRNOG00000010592","85262","Slc25a27"
"ENSRNOG00000024197","100362345","LOC100362345"
"ENSRNOG00000003171","24564","Mpz"
"ENSRNOG00000054460","300826","Khdc3"
"ENSRNOG00000012273","361069","Dmtn"
"ENSRNOG00000016362","308408","Gpr4"
"ENSRNOG00000048088","58827","Mest"
"ENSRNOG00000052080","24245","Camk2b"
"ENSRNOG00000010244","287545","Sarm1"
"ENSRNOG00000031443","363578","Havcr2"
"ENSRNOG00000025728","361170","Adam32"
