"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Environmental adaptation","rno04710","Circadian rhythm","6/68","32/7147",4.42224728170489e-07,7.07559565072782e-05,6.74974585102325e-05,"316351/78962/29657/24309/299691/63840",6
"Metabolism","Metabolism of other amino acids","rno00430","Taurine and hypotaurine metabolism","3/68","13/7147",0.000220096966100836,0.0176077572880668,0.016796873728748,"25256/246245/84493",3
