comparison,design,filter_threshold,DEG_threshold,total_tested_genes,significant_DEGs,upregulated_in_patch,downregulated_in_patch
IZ 1wk patch vs control,~ treatment,rowSums >= 1,padj < 0.05 and |log2FC| > 1,19519,18,14,4
IZ 1wk patch vs control,~ treatment,rowSums >= 1,raw pvalue < 0.05 and |log2FC| > log2(1.5),19519,292,174,118
