ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0140375,immune receptor activity,20/941,113/12520,0.000261798,0.00782687,0.006879929,Il1rl1/Cd44/Il17re/Lilrb3/Csf2ra/Lilrb2/Fcgr2b/Fcer1g/Il1rl2/Lilrb4/Klrd1/Cxcr1/Csf2rb/Il3ra/Fcgr3a/Crlf2/Fcgr1a/Flt3/Il15ra/Gfra4,20
GO:0031543,peptidyl-proline dioxygenase activity,5/941,10/12520,0.000434359,0.012552966,0.011034234,P4ha3/P4ha2/Egln3/P3h1/P4htm,5
GO:0017147,Wnt-protein binding,8/941,26/12520,0.000454619,0.012714653,0.01117636,Cthrc1/Sfrp2/Sfrp4/Ror2/Frzb/Porcn/Sfrp1/Trabd2b,8
GO:0042379,chemokine receptor binding,11/941,46/12520,0.000472032,0.012789111,0.01124181,Cxcl12/Ccl1/Cxcl11/Cxcl9/Ccl7/Ccl11/Cx3cl1/Itch/Ccl27/Ccl12/Cxcl6,11
GO:0001968,fibronectin binding,9/941,33/12520,0.000546375,0.014354749,0.012618027,Sfrp2/Ctsk/Ccn2/Tnfaip6/Thbs4/Thbs1/Mmp9/Ctss/Lilrb4,9
GO:0048407,platelet-derived growth factor binding,5/941,11/12520,0.00074716,0.019035861,0.016732791,Col1a1/Col5a1/Col1a2/Col3a1/Col6a1,5
GO:0071813,lipoprotein particle binding,8/941,28/12520,0.000790416,0.019035861,0.016732791,Trem2/Scarb1/Pltp/Abca1/Thbs1/Colec12/Msr1/Apoe,8
GO:0071814,protein-lipid complex binding,8/941,28/12520,0.000790416,0.019035861,0.016732791,Trem2/Scarb1/Pltp/Abca1/Thbs1/Colec12/Msr1/Apoe,8
GO:0008194,UDP-glycosyltransferase activity,19/941,117/12520,0.001105405,0.025902333,0.022768517,B4galt5/Ugt1a1/Ugt1a6/Ugt1a7c/Ugt1a8/Ugt1a2/Ugt1a3/Ugt1a9/Ugt1a5/Gxylt2/Galnt10/Hexb/Chsy3/B3galt2/Galnt6/Galnt5/Galnt12/Uggt2/B3gat1,19
GO:0004222,metalloendopeptidase activity,16/941,92/12520,0.001269581,0.028966501,0.025461964,Adamts14/Mmp23/Mmp14/Adam8/Adamts16/Mmp19/Adamts15/Mme/Mmp9/Adam12/Mmp16/Mmp12/Trabd2b/Adamts4/Tll1/Adamts19,16
GO:0030169,low-density lipoprotein particle binding,6/941,18/12520,0.001499764,0.033340901,0.029307123,Trem2/Scarb1/Pltp/Thbs1/Colec12/Msr1,6
GO:0015556,C4-dicarboxylate transmembrane transporter activity,5/941,13/12520,0.001833027,0.039730855,0.034923984,Slc16a1/Slc1a4/Slc1a1/Slc13a3/Slc25a13,5
GO:0001786,phosphatidylserine binding,12/941,63/12520,0.002262982,0.046265383,0.040667926,Syt15/Trem2/Cd300lf/Scarb1/Marcks/Syt12/Cd300a/Trim72/Thbs1/Mme/Osbpl8/Cidec,12
GO:0005126,cytokine receptor binding,27/941,201/12520,0.002276548,0.046265383,0.040667926,Cadm4/Cd44/Nucb2/Cd300lf/Il33/Syk/Il10/Cxcl12/Stap1/Tnfsf9/Grem1/Il18/Lrg1/Ccl1/Cxcl11/Cxcl9/Ccl7/Ccl11/Cx3cl1/Il1rn/Itch/Ccl27/Ccl12/Clcf1/Nradd/Tnfsf4/Cxcl6,27
GO:0008236,serine-type peptidase activity,21/941,143/12520,0.002294592,0.046265383,0.040667926,Prss35/Htra1/Dpp7/Pamr1/C2/Cfb/Plau/Ctsa/Cela1/Bin2/Prepl/Hgf/Mmp9/Ctss/Masp1/Mcpt2/Dpp4/Gzma/Tpsb2/Cma1/Cfi,21
