ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0030316,osteoclast differentiation,5/132,113/13664,0.004762983,0.04181866,0.03060041,Tmem178a/Tnfrsf11b/Trem2/Cd300lf/Ptprv,5
GO:0042471,ear morphogenesis,5/132,113/13664,0.004762983,0.04181866,0.03060041,Col11a1/Cthrc1/Ptk7/Ror2/Itga8,5
GO:0002366,leukocyte activation involved in immune response,8/132,271/13664,0.00479191,0.04181866,0.03060041,Enpp3/Itgb2/Stxbp2/Trem2/Clec7a/Slc11a1/Cd300a/Lgals3,8
GO:0044706,multi-multicellular organism process,8/132,271/13664,0.00479191,0.04181866,0.03060041,Ptn/Serpine1/Sfrp4/Ctsb/Arg1/Plau/Reg3b/Wnt4,8
GO:0002579,positive regulation of antigen processing and presentation,2/132,11/13664,0.004811544,0.04181866,0.03060041,Trem2/Slc11a1,2
GO:0042487,regulation of odontogenesis of dentin-containing tooth,2/132,11/13664,0.004811544,0.04181866,0.03060041,Tnfrsf11b/Runx2,2
GO:0043691,reverse cholesterol transport,2/132,11/13664,0.004811544,0.04181866,0.03060041,Scarb1/Abca1,2
GO:0051709,regulation of killing of cells of another organism,2/132,11/13664,0.004811544,0.04181866,0.03060041,Clec7a/Arg1,2
GO:0071873,response to norepinephrine,2/132,11/13664,0.004811544,0.04181866,0.03060041,Col1a2/Aplp1,2
GO:0001819,positive regulation of cytokine production,11/132,459/13664,0.004910338,0.042404611,0.031029174,Serpine1/Il1rl1/Hpse/Scamp5/Adam8/Irf7/Trem2/Clec7a/Slc11a1/Agtr1a/Spon2,11
GO:0036293,response to decreased oxygen levels,11/132,459/13664,0.004910338,0.042404611,0.031029174,Fndc1/Ptn/Serpine1/Eln/Slit2/Mmp14/Adam8/Trem2/Kcnn4/Plau/Slc1a1,11
GO:0032692,negative regulation of interleukin-1 production,3/132,36/13664,0.004985221,0.042642574,0.031203301,Trem2/Cd33/Serpinb1a,3
GO:0071827,plasma lipoprotein particle organization,3/132,36/13664,0.004985221,0.042642574,0.031203301,Scarb1/Abca1/Soat1,3
GO:0090313,regulation of protein targeting to membrane,3/132,36/13664,0.004985221,0.042642574,0.031203301,Cemip/Stom/Slc1a1,3
GO:0002263,cell activation involved in immune response,8/132,274/13664,0.005115287,0.043617098,0.0319164,Enpp3/Itgb2/Stxbp2/Trem2/Clec7a/Slc11a1/Cd300a/Lgals3,8
GO:0050920,regulation of chemotaxis,7/132,218/13664,0.005238726,0.044529174,0.032583803,Ccn3/Fn1/Ptn/Serpine1/Slit2/Trem2/Grem1,7
GO:0050852,T cell receptor signaling pathway,5/132,116/13664,0.005319457,0.045073647,0.032982216,Thy1/Kcnn4/Cd8a/Cd300a/Lgals3,5
GO:0002446,neutrophil mediated immunity,3/132,37/13664,0.005387219,0.045082517,0.032988706,Itgb2/Stxbp2/Arg1,3
GO:0002691,regulation of cellular extravasation,3/132,37/13664,0.005387219,0.045082517,0.032988706,Thy1/Plvap/Adam8,3
GO:0033006,regulation of mast cell activation involved in immune response,3/132,37/13664,0.005387219,0.045082517,0.032988706,Enpp3/Stxbp2/Cd300a,3
GO:0090322,regulation of superoxide metabolic process,3/132,37/13664,0.005387219,0.045082517,0.032988706,Itgb2/Clec7a/Agtr1a,3
GO:0009064,glutamine family amino acid metabolic process,4/132,73/13664,0.005415424,0.045178678,0.033059071,Asns/Arg1/Slc39a8/Pycr1,4
GO:0019058,viral life cycle,7/132,221/13664,0.005637376,0.046293693,0.033874973,Ctsb/Mx1/Ptx3/Cd300lf/Siglec1/Stom/Oasl,7
GO:0001878,response to yeast,2/132,12/13664,0.005737472,0.046293693,0.033874973,Ptx3/Clec7a,2
GO:0002756,MyD88-independent toll-like receptor signaling pathway,2/132,12/13664,0.005737472,0.046293693,0.033874973,Irf7/Cd300lf,2
GO:0006828,manganese ion transport,2/132,12/13664,0.005737472,0.046293693,0.033874973,Slc11a1/Slc39a8,2
GO:0030214,hyaluronan catabolic process,2/132,12/13664,0.005737472,0.046293693,0.033874973,Cemip/Gusb,2
GO:0032490,detection of molecule of bacterial origin,2/132,12/13664,0.005737472,0.046293693,0.033874973,Trem2/Scarb1,2
GO:0033689,negative regulation of osteoblast proliferation,2/132,12/13664,0.005737472,0.046293693,0.033874973,Tnn/Grem1,2
GO:0033690,positive regulation of osteoblast proliferation,2/132,12/13664,0.005737472,0.046293693,0.033874973,Cthrc1/Hpse,2
GO:0035821,modulation of process of another organism,2/132,12/13664,0.005737472,0.046293693,0.033874973,Clec7a/Arg1,2
GO:0090179,planar cell polarity pathway involved in neural tube closure,2/132,12/13664,0.005737472,0.046293693,0.033874973,Sfrp2/Ptk7,2
GO:0097501,stress response to metal ion,2/132,12/13664,0.005737472,0.046293693,0.033874973,Slc11a1/Slc39a8,2
GO:0002455,humoral immune response mediated by circulating immunoglobulin,3/132,38/13664,0.005808165,0.046585965,0.03408884,Svep1/Trem2/Fcgr2b,3
GO:0002920,regulation of humoral immune response,3/132,38/13664,0.005808165,0.046585965,0.03408884,Svep1/Trem2/Fcgr2b,3
GO:0034329,cell junction assembly,10/132,406/13664,0.006003279,0.04800847,0.035129745,Thy1/Fn1/Col16a1/Pkp1/Srpx2/Slit2/Snai2/Mmp14/Wnt4/Grem1,10
GO:0032355,response to estradiol,7/132,224/13664,0.006058374,0.048306146,0.035347567,Col1a1/Ptn/Sfrp4/Ramp3/Fcgr2b/Reg3b/Wnt4,7
GO:0002688,regulation of leukocyte chemotaxis,5/132,120/13664,0.006131036,0.048741739,0.035666308,Ccn3/Ptn/Serpine1/Slit2/Grem1,5
GO:0010721,negative regulation of cell development,8/132,283/13664,0.006186475,0.049038246,0.035883274,Thy1/Tmem178a/Ptn/Cdkn2b/Slit2/Snai2/Tnfrsf11b/Trem2,8
GO:0042119,neutrophil activation,3/132,39/13664,0.00624829,0.049096305,0.035925758,Itgb2/Stxbp2/Cd300a,3
GO:0071825,protein-lipid complex organization,3/132,39/13664,0.00624829,0.049096305,0.035925758,Scarb1/Abca1/Soat1,3
GO:1905332,positive regulation of morphogenesis of an epithelium,3/132,39/13664,0.00624829,0.049096305,0.035925758,Agtr1a/Wnt4/Grem1,3
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,6/132,171/13664,0.006298352,0.049335878,0.036101063,Fn1/Ramp3/Hpse/Adam8/Ror2/Trem2,6
GO:0045765,regulation of angiogenesis,8/132,284/13664,0.006315284,0.049335878,0.036101063,Tnn/Sfrp2/Ptn/Serpine1/Itgb2/Agtr1a/Grem1/Lgals3,8
GO:0051047,positive regulation of secretion,9/132,346/13664,0.006404071,0.049852031,0.036478753,Sdc1/Rab15/Scamp5/Itgb2/Stxbp2/Trem2/Kcnn4/Cd33/Lgals3,9
GO:0001558,regulation of cell growth,10/132,410/13664,0.006418241,0.049852031,0.036478753,Sfrp2/Ccn3/Fn1/Slit3/Igfbp4/Slit2/Mmp14/Tnc/Trpv2/Grem1,10
