"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001819","positive regulation of cytokine production","74/1000","459/13664",6.83563471382828e-11,3.24257653970509e-08,2.57137608230229e-08,"Serpine1/Htr2b/Il1rl1/Hpse/Scamp5/Adam8/Irf7/Trem2/Slc7a5/Dlk1/Clec7a/Slc11a1/Clu/Il33/Postn/Agtr1a/Tyrobp/Oas1a/Spon2/Syk/Il10/Lum/Adra2a/Dhx58/Tnfsf9/Fcer1g/Unc93b1/Cyba/Atp6ap2/Twist1/Tomm70/Cybb/Thbs1/Gata4/Il18/Hgf/Il1rl2/Nod2/Adora2b/Hspa1a/Fcna/Ccl1/Laptm5/Ptafr/Gpsm3/Nfam1/Mmp12/Scimp/Cd83/Rab7b/Cd14/Tbx21/Irf5/Fcgr3a/Runx1/Btk/Gbp5/Oas2/Tmem106a/Crlf2/Clec4a/Slamf6/Cx3cl1/Oas3/Fcnb/Irf4/Flt3/Clec5a/C1qtnf3/Tnfsf4/Abcc8/Ido1/Ccn1/Tnfrsf14",74
"GO:0002685","regulation of leukocyte migration","45/1000","216/13664",1.07693962901208e-10,4.68289248682086e-08,3.71355235232148e-08,"Thy1/Ccn3/Plvap/Ptn/Serpine1/Slit2/Chst2/Mmp14/Adam8/Trem2/Lgmn/Il33/Ripk3/Cxcl12/Stap1/Cd300a/Myo1f/Tnfaip6/P2rx4/Rin3/Fut7/Trem1/Grem1/Lgals3/Thbs4/Thbs1/Nod2/Dnm1l/Nckap1l/Cd200r1/Mmp9/Ccl1/Pla2g7/Padi2/Ptafr/Gpsm3/Pdgfd/Pawr/Ccl7/Dpp4/Spi1/Cx3cl1/Ccl27/Ccl12/Tnfrsf14",45
"GO:0051146","striated muscle cell differentiation","57/1000","320/13664",2.45889083571325e-10,9.86960952365518e-08,7.82663957505165e-08,"Ccn3/Sdc1/Tmem119/Mmp14/Myh10/Actn1/Naglu/Pdlim5/Cd53/G6pd/Ankrd23/Sorbs2/Cxcl12/Csrp3/Nppb/Nrap/Actc1/Casq2/Myl2/Grem1/Trim72/Adra1a/Nkx2-5/Akap6/Popdc2/Pak1/Adamts15/Cav3/Tnnt2/Xirp1/Cyp26b1/Tomm70/Klhl41/Csrp1/Gata4/Pld3/Rcan1/Fhod3/Myh7/Tmod1/Trdn/Alpk3/Smyd1/Cxcl9/Myo18b/Mybpc3/Asb2/Irx3/Myocd/Cdk1/Tbx1/Six1/Adprhl1/Bves/Mfn2/Sgcd/Sox6",57
"GO:0055001","muscle cell development","44/1000","219/13664",5.91197154195984e-10,2.20347625042475e-07,1.74736542341685e-07,"Lox/Sdc1/Efemp2/Myh10/Actn1/Naglu/Myof/Pdlim5/G6pd/Ankrd23/Sorbs2/Csrp3/Nppb/Nrap/Actc1/Casq2/Myl2/Adra1a/Nkx2-5/Akap6/Popdc2/Pak1/Cav3/Tnnt2/Xirp1/Tomm70/Klhl41/Csrp1/Gata4/Rcan1/Fhod3/Myh7/Tmod1/Alpk3/Myo18b/Mybpc3/Asb2/Myocd/Cdk1/Six1/Adprhl1/Bves/Mfn2/Sgcd",44
"GO:0030595","leukocyte chemotaxis","43/1000","212/13664",6.80184204219907e-10,2.36613411841298e-07,1.87635375914979e-07,"Ccn3/Ptn/Serpine1/Slit2/Adam8/Itgb2/Lgmn/Scg2/Syk/Cxcl12/Stap1/Slamf9/Tnfaip6/Rin3/Fcer1g/Trem1/Retnlg/Grem1/Lgals3/Thbs4/Thbs1/Vav1/Nod2/Itgam/Dnm1l/Nckap1l/Mmp9/Ccl1/Pla2g7/Padi2/Gpsm3/Cxcl11/Cxcr1/Cxcl9/Spp1/Ccl7/Dpp4/Ccl11/Spi1/Cx3cl1/Ccl27/Ccl12/Cxcl6",43
"GO:0002274","myeloid leukocyte activation","46/1000","240/13664",1.21022539457953e-09,3.9468475680725e-07,3.12986580663957e-07,"Thy1/Fn1/Enpp3/Serpine1/Il1rl1/Itgb2/Stxbp2/Trem2/Cd300lf/Slc11a1/Naglu/Clu/Il33/Cd33/Grn/Tyrobp/Pla2g2a/Syk/Il10/Stap1/Milr1/Cd300a/Myo1f/Tnfsf9/Fcer1g/Thbs1/Il18/Adora2b/Itgam/Cd37/Tmem229b/Ptafr/Lilrb4/Pla2g5/Ndrg1/Hmox1/Fcgr3a/Btk/Tmem106a/Crlf2/Spi1/Cx3cl1/Irf4/Ptgds/Cxcl6/Batf2",46
"GO:0002695","negative regulation of leukocyte activation","41/1000","202/13664",1.66252254649301e-09,4.81946813755584e-07,3.8218573861193e-07,"Fn1/Enpp3/Cd44/Cd300lf/Cd33/Grn/Tyrobp/Pla2g2a/Arg1/Fcgr2b/Gpnmb/Tnfaip8l2/Il10/Milr1/Cd300a/Dtx1/Lgals3/Tnfrsf21/Nckap1l/Cd37/Laptm5/Cdkn2a/Lilrb4/Pawr/Pla2g5/Prdm1/Hmox1/Sfrp1/Tbx21/Runx1/Btk/Spi1/Cx3cl1/Tnfaip3/Flt3/Itch/Lst1/Mertk/Tnfsf4/Ido1/Tnfrsf14",41
"GO:0048771","tissue remodeling","41/1000","202/13664",1.66252254649301e-09,4.81946813755584e-07,3.8218573861193e-07,"Cthrc1/Ptn/Eln/P3h4/Tmem119/Sfrp4/Tfrc/Mmp14/Tnfrsf11b/Adam8/Flna/Dlk1/Ptprv/Tcirg1/Ctsk/Arg1/Syk/Gpnmb/Csrp3/Enpp1/Hoxa3/Cela1/Grem1/Thbs4/Gata4/Il18/Acp5/Mmp9/Ctss/LOC24906/Erbb3/Cdkn2a/Spp1/Sfrp1/Fcgr3a/Timp1/Wnt16/Tbx1/Oscar/Foxc2/Rassf2",41
"GO:0055013","cardiac muscle cell development","28/1000","107/13664",1.81772194909582e-09,4.85139967847371e-07,3.84717922496624e-07,"Myh10/Naglu/Pdlim5/G6pd/Sorbs2/Csrp3/Nppb/Nrap/Actc1/Myl2/Adra1a/Nkx2-5/Akap6/Popdc2/Pak1/Cav3/Xirp1/Tomm70/Gata4/Fhod3/Alpk3/Myo18b/Asb2/Myocd/Cdk1/Adprhl1/Bves/Sgcd",28
"GO:0006909","phagocytosis","41/1000","203/13664",1.93980210370903e-09,4.85139967847371e-07,3.84717922496624e-07,"Itgb2/Trem2/Ptx3/Cd300lf/Clec7a/Slc11a1/Siglec1/Scarb1/C2/Abca1/Tyrobp/Spon2/Fcgr2b/Syk/Hck/Stap1/Gulp1/Cd300a/Fcer1g/Cyba/Cela1/Bin2/Thbs1/Colec12/Msr1/Vav1/Nod2/Itgam/Nckap1l/Pla2g5/Rab7b/Btk/Myo1g/Ncf2/Fcnb/Fcgr1a/Il15ra/Colec11/Cebpe/Mertk/Pot1b",41
"GO:0050866","negative regulation of cell activation","43/1000","219/13664",1.95246058351759e-09,4.85139967847371e-07,3.84717922496624e-07,"Fn1/Enpp3/Cd44/Trem2/Cd300lf/Cd33/Grn/Tyrobp/Pla2g2a/Arg1/Fcgr2b/Gpnmb/Tnfaip8l2/Il10/Milr1/Cd300a/Dtx1/Lgals3/Tnfrsf21/Nckap1l/Cd37/Laptm5/Apoe/Cdkn2a/Lilrb4/Pawr/Pla2g5/Prdm1/Hmox1/Sfrp1/Tbx21/Runx1/Btk/Spi1/Cx3cl1/Tnfaip3/Flt3/Itch/Lst1/Mertk/Tnfsf4/Ido1/Tnfrsf14",43
"GO:0006935","chemotaxis","63/1000","394/13664",2.61817455240624e-09,6.2098340065708e-07,4.92442304569805e-07,"Lox/Ccn3/Fn1/Slit3/Ptn/Serpine1/Vcam1/Slit2/Adam8/Itgb2/Trem2/Lgmn/Tpbg/Agtr1a/Scg2/Syk/Cxcl12/Stap1/Slamf9/Tnfaip6/P2rx4/Rin3/Fgf1/Stx3/Fcer1g/Trem1/Retnlg/Cela1/Bin2/Grem1/Lgals3/Thbs4/Thbs1/Vav1/Hgf/Nod2/Itgam/Dnm1l/Nckap1l/Mmp9/Ccl1/Pla2g7/Padi2/Ptafr/Gpsm3/Cxcl11/Pdgfd/Cxcr1/Cxcl9/Sema5a/Spp1/Ccl7/Dpp4/Ccl11/Spi1/Cx3cl1/Gab1/Ntn1/Ccl27/Ccl12/Fgf2/Cxcl6/Ccn1",63
