"comparison","design","filter_threshold","DEG_threshold","total_tested_genes","significant_DEGs","upregulated_in_patch","downregulated_in_patch"
"IZ 4wks patch vs control","~ treatment","rowSums >= 1","padj < 0.05 and |log2FC| > 1",19299,0,0,0
"IZ 4wks patch vs control","~ treatment","rowSums >= 1","raw pvalue < 0.05 and |log2FC| > log2(1.5)",19299,232,120,112
