"ENSEMBL","ENTREZID","SYMBOL"
"ENSRNOG00000006783","311029","Neb"
"ENSRNOG00000005284","81677","Itpka"
"ENSRNOG00000008057","300242","Krt7"
"ENSRNOG00000037230","501204","Ppidl1"
"ENSRNOG00000013953","59109","Ntrk1"
"ENSRNOG00000027731","298577","Ubxn10"
"ENSRNOG00000022491","311361","Wdr76"
"ENSRNOG00000033973","500686","Ccdc177"
"ENSRNOG00000061376","680210","Psca"
"ENSRNOG00000018693","24210","Asgr1"
"ENSRNOG00000009135","500007","LOC500007"
